sample_name	amplicon_number	No amp/Invalid	Non-cyclic	Integration	Hybrid	Cyclic
5637_URINARY_TRACT	amplicon1	0.02728497942386832	0.2798912404467961	0.1426306584362141	0.32383994708994707	0.22635317460317453
59M_OVARY	amplicon1	0.1587301587301587	0.2777777777777778	0.46825396825396826	0.07738095238095237	0.017857142857142856
59M_OVARY	amplicon2	0.08823853615520284	0.44133870214752563	0.36935626102292773	0.08552910052910052	0.015537400145243283
59M_OVARY	amplicon3	0.0	0.0	0.0	0.0	0.0
59M_OVARY	amplicon4	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
59M_OVARY	amplicon5	0.0	0.0	0.0	0.0	0.0
59M_OVARY	amplicon6	1.0	0.0	0.0	0.0	0.0
59M_OVARY	amplicon7	1.0	0.0	0.0	0.0	0.0
8305C_THYROID	amplicon1	0.20833333333333334	0.041666666666666664	0.3333333333333333	0.0	0.4166666666666667
8305C_THYROID	amplicon2	1.0	0.0	0.0	0.0	0.0
A101D_SKIN	amplicon1	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
A101D_SKIN	amplicon2	0.0	1.0	0.0	0.0	0.0
A204_SOFT_TISSUE	amplicon1	1.0	0.0	0.0	0.0	0.0
A2780_OVARY	amplicon1	1.0	0.0	0.0	0.0	0.0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon1	0.0	0.0	0.0	0.0	0.0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon2	0.0	0.18055555555555555	0.4722222222222222	0.0	0.3472222222222222
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon3	0.0	0.0	0.0	0.0	0.0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon4	0.08540277777777779	0.2700138888888889	0.4414166666666667	0.076	0.12716666666666668
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon5	1.0	0.0	0.0	0.0	0.0
A704_KIDNEY	amplicon1	0.0	0.0	0.0	0.0	0.0
ABC1_LUNG	amplicon1	0.0	0.25	0.5	0.0	0.25
ABC1_LUNG	amplicon2	0.0	1.0	0.0	0.0	0.0
ABC1_LUNG	amplicon3	0.0	1.0	0.0	0.0	0.0
ABC1_LUNG	amplicon4	0.11689814814814815	0.13425925925925924	0.48148148148148145	0.1782407407407407	0.08912037037037035
ABC1_LUNG	amplicon5	0.0	1.0	0.0	0.0	0.0
ABC1_LUNG	amplicon6	0.0	0.4074074074074074	0.0	0.46296296296296297	0.12962962962962962
AGS_STOMACH	amplicon1	0.25	0.25	0.5	0.0	0.0
AU565_BREAST	amplicon10	1.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon11	1.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon12	0.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon13	1.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon14	0.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon1	0.09375	0.28125	0.5625	0.03125	0.03125
AU565_BREAST	amplicon2	1.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon3	0.15460754142927013	0.3015864758601854	0.3273795549966019	0.17365093656510225	0.04277549114884047
AU565_BREAST	amplicon4	0.0	0.4444444444444445	0.2222222222222222	0.2222222222222222	0.1111111111111111
AU565_BREAST	amplicon5	0.0	0.890625	0.0	0.09375	0.015625
AU565_BREAST	amplicon6	1.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon7	0.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon8	0.0	0.0	0.0	0.0	0.0
AU565_BREAST	amplicon9	1.0	0.0	0.0	0.0	0.0
BFTC909_KIDNEY	amplicon1	0.4444444444444444	0.1111111111111111	0.4444444444444444	0.0	0.0
BFTC909_KIDNEY	amplicon2	0.0	0.250515873015873	0.17285714285714282	0.14992063492063493	0.42670634920634926
BFTC909_KIDNEY	amplicon3	0.25	0.5833333333333334	0.16666666666666666	0.0	0.0
BT20_BREAST	amplicon10	0.25	0.0	0.5	0.0	0.25
BT20_BREAST	amplicon11	0.07407407407407406	0.4074074074074074	0.4444444444444444	0.0	0.07407407407407406
BT20_BREAST	amplicon12	0.0	0.25	0.0	0.5	0.25
BT20_BREAST	amplicon13	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon14	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon15	1.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon16	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon17	1.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon18	1.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon19	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon1	0.11319444444444444	0.33194444444444443	0.4756944444444445	0.055555555555555546	0.023611111111111107
BT20_BREAST	amplicon20	1.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon2	0.02331349206349206	0.690376984126984	0.23462301587301587	0.04196428571428571	0.00972222222222222
BT20_BREAST	amplicon3	0.03472222222222222	0.2569444444444444	0.48611111111111105	0.06944444444444442	0.15277777777777776
BT20_BREAST	amplicon4	0.4444444444444445	0.11111111111111112	0.4444444444444445	0.0	0.0
BT20_BREAST	amplicon5	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon6	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon7	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon8	0.0	0.0	0.0	0.0	0.0
BT20_BREAST	amplicon9	0.009615384615384616	0.8087606837606838	0.13034188034188035	0.034188034188034185	0.017094017094017092
BT474_BREAST	amplicon1	0.1557524044059181	0.30754766636644026	0.41299437231284913	0.09485952541692579	0.028846031497866728
BT474_BREAST	amplicon2	0.0	0.75	0.25	0.0	0.0
BT474_BREAST	amplicon3	0.06597222222222224	0.38541666666666674	0.42361111111111116	0.04166666666666667	0.08333333333333334
BT474_BREAST	amplicon4	0.05327868852459018	0.6056466302367941	0.331967213114754	0.007285974499089253	0.0018214936247723133
BT474_BREAST	amplicon5	0.0	0.0	0.0	0.0	0.0
BT474_BREAST	amplicon6	0.0	0.0	0.0	0.0	0.0
BT474_BREAST	amplicon7	0.025	0.6375	0.19583333333333333	0.125	0.016666666666666666
BT474_BREAST	amplicon8	0.0	0.0	0.0	0.0	0.0
BT474_BREAST	amplicon9	1.0	0.0	0.0	0.0	0.0
BT483_BREAST	amplicon1	0.2502777777777777	0.13789351851851853	0.5323148148148149	0.046527777777777765	0.0329861111111111
C2BBE1_LARGE_INTESTINE	amplicon1	0.03125	0.78125	0.1875	0.0	0.0
C2BBE1_LARGE_INTESTINE	amplicon2	0.0	0.625	0.25	0.08333333333333333	0.041666666666666664
C2BBE1_LARGE_INTESTINE	amplicon3	0.1987037037037037	0.4098148148148149	0.3914814814814815	0.0	0.0
CAKI1_KIDNEY	amplicon1	0.0	0.1111111111111111	0.4444444444444444	0.0	0.4444444444444444
CAL120_BREAST	amplicon1	0.0	0.0	0.0	0.0	0.0
CAL120_BREAST	amplicon2	0.21637426900584797	0.4649122807017542	0.3040935672514621	0.011695906432748537	0.0029239766081871343
CAL120_BREAST	amplicon3	0.0625	0.7291666666666666	0.20833333333333331	0.0	0.0
CAL120_BREAST	amplicon4	0.0	1.0	0.0	0.0	0.0
CAL120_BREAST	amplicon5	0.0	0.0	0.0	0.0	0.0
CAL120_BREAST	amplicon6	0.0	0.25	0.5	0.0	0.25
CAL120_BREAST	amplicon7	0.2436032277494331	0.08386506164965984	0.4704894770408163	0.10491793331916101	0.0971243002409297
CAL120_BREAST	amplicon8	0.12055309901738474	0.61610227702192	0.23690967498110355	0.021067176870748296	0.005367772108843537
CAL27_UPPER_AERODIGESTIVE_TRACT	amplicon1	1.0	0.0	0.0	0.0	0.0
CAL27_UPPER_AERODIGESTIVE_TRACT	amplicon2	0.0	0.75	0.25	0.0	0.0
CAL27_UPPER_AERODIGESTIVE_TRACT	amplicon3	0.11250000000000002	0.5375000000000001	0.35	0.0	0.0
CAL54_KIDNEY	amplicon1	0.0	0.0	0.0	0.0	0.0
CAL851_BREAST	amplicon1	0.02222222222222222	0.23888888888888893	0.26666666666666666	0.26666666666666666	0.20555555555555557
CAL851_BREAST	amplicon2	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
CAL851_BREAST	amplicon3	1.0	0.0	0.0	0.0	0.0
CAL851_BREAST	amplicon4	1.0	0.0	0.0	0.0	0.0
CAL851_BREAST	amplicon5	0.0	0.0	0.0	0.0	0.0
CAL851_BREAST	amplicon6	1.0	0.0	0.0	0.0	0.0
CALU6_LUNG	amplicon1	0.04207186662543806	0.48192125334982483	0.3152913059163059	0.11636775922490208	0.04434781488352919
CALU6_LUNG	amplicon2	0.0	1.0	0.0	0.0	0.0
CAMA1_BREAST	amplicon1	0.0	1.0	0.0	0.0	0.0
CAMA1_BREAST	amplicon2	0.0	0.5	0.5	0.0	0.0
CAMA1_BREAST	amplicon3	0.056049382716049374	0.4550771604938272	0.3343364197530863	0.13004629629629633	0.02449074074074074
CAOV3_OVARY	amplicon1	0.1388888888888889	0.19841269841269837	0.4841269841269841	0.10515873015873013	0.0734126984126984
CAOV3_OVARY	amplicon2	0.0	1.0	0.0	0.0	0.0
CAOV3_OVARY	amplicon3	0.0	1.0	0.0	0.0	0.0
CAOV3_OVARY	amplicon4	0.25	0.25	0.5	0.0	0.0
CAOV3_OVARY	amplicon5	1.0	0.0	0.0	0.0	0.0
CAPAN1_PANCREAS	amplicon1	0.38814814814814813	0.0637037037037037	0.46814814814814815	0.05333333333333334	0.02666666666666667
CCK81_LARGE_INTESTINE	amplicon1	1.0	0.0	0.0	0.0	0.0
CCK81_LARGE_INTESTINE	amplicon2	1.0	0.0	0.0	0.0	0.0
CCK81_LARGE_INTESTINE	amplicon3	0.0	0.0	0.0	0.0	0.0
CCK81_LARGE_INTESTINE	amplicon4	0.0	0.0	0.0	0.0	0.0
CCK81_LARGE_INTESTINE	amplicon5	1.0	0.0	0.0	0.0	0.0
CHAGOK1_LUNG	amplicon1	0.0	0.0	0.0	0.0	0.0
CHAGOK1_LUNG	amplicon2	0.11111111111111108	0.11111111111111108	0.6666666666666666	0.0	0.11111111111111108
CHAGOK1_LUNG	amplicon3	0.25	0.25	0.5	0.0	0.0
CHAGOK1_LUNG	amplicon4	0.23722222222222225	0.13666666666666666	0.5066666666666667	0.08388888888888889	0.035555555555555556
CHAGOK1_LUNG	amplicon5	0.0057	0.8758666666666667	0.11093333333333334	0.005	0.0025
CHAGOK1_LUNG	amplicon6	0.0	0.0	0.0	0.0	0.0
CHAGOK1_LUNG	amplicon7	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
CHAGOK1_LUNG	amplicon8	0.46	0.053333333333333344	0.4866666666666667	0.0	0.0
CHAGOK1_LUNG	amplicon9	1.0	0.0	0.0	0.0	0.0
CHP212_AUTONOMIC_GANGLIA	amplicon1	0.0	0.05555555555555556	0.0	0.2777777777777778	0.6666666666666667
COLO201_LARGE_INTESTINE	amplicon1	0.0	0.25	0.5	0.0	0.25
COLO201_LARGE_INTESTINE	amplicon2	0.24820223922902496	0.1709377576788291	0.4729662698412698	0.04881880024737167	0.059074933003504436
COLO201_LARGE_INTESTINE	amplicon3	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
COLO201_LARGE_INTESTINE	amplicon4	0.0	0.25	0.5	0.0	0.25
COLO201_LARGE_INTESTINE	amplicon5	0.0	0.3333333333333333	0.6666666666666666	0.0	0.0
COLO201_LARGE_INTESTINE	amplicon6	0.06944444444444443	0.27777777777777773	0.611111111111111	0.0	0.041666666666666664
COLO668_LUNG	amplicon1	0.020880810657596373	0.16911033163265307	0.1919315121882086	0.29408535289115656	0.3239919926303855
COLO829_SKIN	amplicon1	0.05555555555555556	0.22916666666666669	0.5694444444444445	0.0	0.14583333333333334
CORL23_LUNG	amplicon1	0.0	0.17439477887591096	0.013499550763701705	0.3338100229609664	0.478295647399421
CORL23_LUNG	amplicon2	0.11111111111111108	0.11111111111111108	0.6666666666666666	0.0	0.11111111111111108
CORL23_LUNG	amplicon3	1.0	0.0	0.0	0.0	0.0
CORL23_LUNG	amplicon4	0.0	0.05477272727272728	0.0	0.29045454545454547	0.6547727272727273
CORL23_LUNG	amplicon5	1.0	0.0	0.0	0.0	0.0
CORL23_LUNG	amplicon6	0.0	0.0	0.0	0.0	0.0
CORL23_LUNG	amplicon7	0.0	0.0	0.0	0.0	0.0
CORL23_LUNG	amplicon8	1.0	0.0	0.0	0.0	0.0
CORL23_LUNG	amplicon9	0.0	0.0	0.0	0.0	0.0
CORL24_LUNG	amplicon1	0.3969878335949764	0.1047291993720565	0.43386316064887487	0.04288199895342753	0.02153780743066457
CORL279_LUNG	amplicon1	0.0	0.037037037037037035	0.0	0.7777777777777778	0.18518518518518517
CORL279_LUNG	amplicon2	0.08101851851851852	0.0	0.2824074074074074	0.0	0.636574074074074
CORL311_LUNG	amplicon1	0.08435817805383021	0.26547791580400276	0.42930986887508626	0.15188750862663905	0.06896652864044167
CORL311_LUNG	amplicon2	0.0	0.0	0.0	0.0	0.0
CORL311_LUNG	amplicon3	0.009436896135265702	0.3887202997140885	0.06409722222222222	0.32876540471260973	0.2089801772158138
CORL88_LUNG	amplicon1	0.007407407407407407	0.3402777777777778	0.30879629629629635	0.09398148148148149	0.24953703703703706
