feature_ID	captured_region_size_bp	median_feature_CN	max_feature_CN	borderline_flag
5637_URINARY_TRACT_amplicon1_ecDNA_1	2488757	29.75728688271195	67.41932920134495	None
5637_URINARY_TRACT_amplicon1_ecDNA_2	4901014	13.1750189607799	17.283489630383706	None
59M_OVARY_amplicon1_Complex non-cyclic_1	3998398	5.026092559341866	5.787943177670361	None
59M_OVARY_amplicon2_ecDNA_1	3343884	15.129375054052778	24.85406887144347	None
59M_OVARY_amplicon2_ecDNA_2	1463324	10.047200594780163	10.047200594780163	None
59M_OVARY_amplicon3_Linear amplification_1	1495052	4.7397055073344765	4.7397055073344765	LowCN
59M_OVARY_amplicon4_Linear amplification_1	727610	4.693523392236026	4.693523392236026	LowCN
59M_OVARY_amplicon5_Linear amplification_1	68629	5.196021662541906	5.196021662541906	None
8305C_THYROID_amplicon1_ecDNA_1	1398937	25.987924878490592	44.56189628743522	None
A101D_SKIN_amplicon1_BFB_1	449775	6.2351913931908305	6.2351913931908305	LowCN
A101D_SKIN_amplicon2_Linear amplification_1	2273659	7.768985821210742	9.725368287120558	None
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1_Linear amplification_1	59238	4.660959449489027	4.660959449489027	LowCN
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_ecDNA_1	92627	4.778728195643449	6.1437514532924045	LowCN
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3_Linear amplification_1	90001	4.989262949271264	4.989262949271264	LowCN
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_ecDNA_1	139766	6.440621499090429	10.070882663534363	None
A704_KIDNEY_amplicon1_Linear amplification_1	88474	6.259490646574596	6.259490646574596	None
ABC1_LUNG_amplicon1_ecDNA_1	802360	5.169744120117584	5.169744120117584	LowCN
ABC1_LUNG_amplicon2_Linear amplification_1	1590662	8.898312095603476	8.898312095603476	None
ABC1_LUNG_amplicon3_Linear amplification_1	895622	8.55655343258448	8.55655343258448	None
ABC1_LUNG_amplicon4_ecDNA_1	1232800	9.228803797956914	10.71791704169338	None
ABC1_LUNG_amplicon5_Complex non-cyclic_1	497635	7.944211897048816	7.944211897048816	None
ABC1_LUNG_amplicon6_BFB_1	382383	5.38090268240775	14.291864996370983	None
AGS_STOMACH_amplicon1_Linear amplification_1	99900	5.803764559563988	5.803764559563988	None
AU565_BREAST_amplicon1_ecDNA_1	361070	4.746376876450477	4.746376876450477	LowCN
AU565_BREAST_amplicon3_ecDNA_1	23353056	12.566387068578907	33.63940347733068	None
AU565_BREAST_amplicon4_ecDNA_1	719641	5.76147461498319	8.053644346358116	None
AU565_BREAST_amplicon5_BFB_1	364878	6.753000169189062	29.261249108946352	None
AU565_BREAST_amplicon7_Linear amplification_1	350011	4.9724935095834795	4.9724935095834795	LowCN
AU565_BREAST_amplicon8_Linear amplification_1	2110134	7.340751345128957	7.340751345128957	None
BFTC909_KIDNEY_amplicon1_Linear amplification_1	819401	6.480341458361451	6.497686670810794	None
BFTC909_KIDNEY_amplicon2_BFB_1	3017148	12.081520298331046	24.099471330503828	None
BFTC909_KIDNEY_amplicon3_Complex non-cyclic_1	5892208	6.0605730074136055	24.42541066780932	None
BT20_BREAST_amplicon10_ecDNA_1	389657	5.762074103451407	5.983313973878331	LowCN
BT20_BREAST_amplicon11_BFB_1	150907	5.5174749833261565	5.8771075004456215	LowCN
BT20_BREAST_amplicon12_ecDNA_1	2140390	5.305561778676619	5.305561778676621	LowCN
BT20_BREAST_amplicon13_Linear amplification_1	68629	5.547300736674124	5.547300736674124	None
BT20_BREAST_amplicon1_ecDNA_1	1101681	6.805648948612421	9.633157525773399	None
BT20_BREAST_amplicon2_Complex non-cyclic_1	3576291	6.870389743345076	17.024176465855117	None
BT20_BREAST_amplicon3_ecDNA_1	278964	5.889813695868704	8.572744873375248	None
BT20_BREAST_amplicon4_Linear amplification_1	9780890	5.291372714910677	5.291372714910695	None
BT20_BREAST_amplicon6_Linear amplification_1	245004	5.400445726106874	5.400445726106874	None
BT20_BREAST_amplicon7_Linear amplification_1	1170011	5.681984082965932	5.681984082965932	None
BT20_BREAST_amplicon8_Linear amplification_1	1220011	4.605928151125384	4.605928151125384	LowCN
BT20_BREAST_amplicon9_Complex non-cyclic_1	3259327	8.153767801362333	17.217687118142326	None
BT474_BREAST_amplicon1_ecDNA_1	160953	13.879186577441113	14.683670213973496	None
BT474_BREAST_amplicon1_ecDNA_2	10011141	15.611084417554284	36.933943532347236	None
BT474_BREAST_amplicon1_ecDNA_3	9437379	10.706342181341508	37.74519055280241	None
BT474_BREAST_amplicon2_Complex non-cyclic_1	1287560	4.891652768856454	4.891652768856454	LowCN
BT474_BREAST_amplicon3_ecDNA_1	387932	7.846577859831926	7.846577859831926	LowCN
BT474_BREAST_amplicon4_Complex non-cyclic_1	1359060	5.857204072281538	6.2351582395455205	None
BT474_BREAST_amplicon5_Linear amplification_1	2379972	4.895793376839148	4.895793376839148	LowCN
BT474_BREAST_amplicon6_Linear amplification_1	1274844	7.399989565951808	7.399989565951808	None
BT474_BREAST_amplicon7_Complex non-cyclic_1	3941784	6.14103235822951	7.415337382453268	None
BT483_BREAST_amplicon1_ecDNA_1	1067167	15.912655347996893	18.54563089258406	None
C2BBE1_LARGE_INTESTINE_amplicon1_Linear amplification_1	905475	5.928310429196674	7.708894973773936	None
C2BBE1_LARGE_INTESTINE_amplicon2_Linear amplification_1	876069	6.878054056976241	7.2007603332615	None
C2BBE1_LARGE_INTESTINE_amplicon3_Complex non-cyclic_1	1186000	6.887871873906701	7.814151389181103	None
CAKI1_KIDNEY_amplicon1_ecDNA_1	81891	6.99500627451393	6.995006274513931	LowCN
CAL120_BREAST_amplicon1_Linear amplification_1	368175	4.795721916028947	4.795721916028947	LowCN
CAL120_BREAST_amplicon2_ecDNA_1	74831	13.053014663048748	13.053014663048748	None
CAL120_BREAST_amplicon4_Linear amplification_1	155880	5.212473381985643	6.624784542417336	None
CAL120_BREAST_amplicon5_Linear amplification_1	308692	5.336735008355434	5.336735008355434	None
CAL120_BREAST_amplicon7_ecDNA_1	5715467	7.213311831592965	13.263699677826434	None
CAL120_BREAST_amplicon8_ecDNA_1	47442	22.38642946572391	22.38642946572391	None
CAL120_BREAST_amplicon8_ecDNA_2	188433	6.46715107437965	6.46715107437965	LowCN
CAL27_UPPER_AERODIGESTIVE_TRACT_amplicon2_Linear amplification_1	2788585	6.825028553057058	6.857278192148222	None
CAL27_UPPER_AERODIGESTIVE_TRACT_amplicon3_BFB_1	3604486	9.576048679996076	15.319195841635217	None
CAL54_KIDNEY_amplicon1_Linear amplification_1	88474	5.853809565390087	5.853809565390087	None
CAL851_BREAST_amplicon1_ecDNA_1	1636243	6.922645156503991	11.265799808888705	None
CAL851_BREAST_amplicon2_Linear amplification_1	1283716	7.63116681372604	7.63116681372604	None
