sample	amplicon	feature	total_feature_entropy	decomp_entropy	Amp_nseg_entropy
5637_URINARY_TRACT	amplicon1	ecDNA_1	4.860752961127045	1.2231668014006596	3.6375861597263857
5637_URINARY_TRACT	amplicon1	ecDNA_2	4.264928927163244	0.7095808656738307	3.5553480614894135
59M_OVARY	amplicon1	Complex non-cyclic_1	3.708480599093023	0.9358918768532419	2.772588722239781
59M_OVARY	amplicon2	ecDNA_1	3.965245708481853	1.0748739505856881	2.890371757896165
59M_OVARY	amplicon2	ecDNA_2	1.4653172401256893	0.3667049514575795	1.0986122886681098
59M_OVARY	amplicon3	Linear amplification_1	1.0732482376876056	0.38010105712766035	0.6931471805599453
59M_OVARY	amplicon4	Linear amplification_1	2.5923335968807866	0.9828956844466861	1.6094379124341003
59M_OVARY	amplicon5	Linear amplification_1	3.669287096385469e-13	3.669287096385469e-13	0
8305C_THYROID	amplicon1	ecDNA_1	2.6778973607017065	0.375312267707661	2.3025850929940455
A101D_SKIN	amplicon1	BFB_1	2.370361382661321	0.7609234702272206	1.6094379124341003
A101D_SKIN	amplicon2	Linear amplification_1	3.5568598355710113	0.9919104781094745	2.5649493574615367
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon1	Linear amplification_1	1.2482536850475054	0.5551065044875602	0.6931471805599453
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon2	ecDNA_1	1.9517828336007117	0.8531705449326019	1.0986122886681098
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon3	Linear amplification_1	1.4772428951361978	0.378630606468088	1.0986122886681098
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon4	ecDNA_1	3.824779574064171	1.185722244448912	2.639057329615259
A704_KIDNEY	amplicon1	Linear amplification_1	0.6644754414306098	0.6644754414306098	0
ABC1_LUNG	amplicon1	ecDNA_1	1.7819334881257647	0.6833211994576549	1.0986122886681098
ABC1_LUNG	amplicon2	Linear amplification_1	2.288337005886139	0.6788990934520388	1.6094379124341003
ABC1_LUNG	amplicon3	Linear amplification_1	1.9071840437997194	0.2977461313656191	1.6094379124341003
ABC1_LUNG	amplicon4	ecDNA_1	2.991500339729556	0.6889152467355106	2.3025850929940455
ABC1_LUNG	amplicon5	Complex non-cyclic_1	2.5666261087407345	0.36940153140451504	2.1972245773362196
ABC1_LUNG	amplicon6	BFB_1	3.0500380144372463	0.9705964727574107	2.0794415416798357
AGS_STOMACH	amplicon1	Linear amplification_1	1.6697053625993914	0.5710930739312816	1.0986122886681098
AU565_BREAST	amplicon1	ecDNA_1	1.1197701999187704	0.4266230193588251	0.6931471805599453
AU565_BREAST	amplicon3	ecDNA_1	6.354573583153979	1.1897876092304642	5.1647859739235145
AU565_BREAST	amplicon4	ecDNA_1	2.1781623296199157	0.5687244171858152	1.6094379124341003
AU565_BREAST	amplicon5	BFB_1	3.678783323102211	1.039725993486952	2.639057329615259
AU565_BREAST	amplicon7	Linear amplification_1	6.998845947234538e-13	6.998845947234538e-13	0
AU565_BREAST	amplicon8	Linear amplification_1	2.1769724568820523	0.5675345444479518	1.6094379124341003
BFTC909_KIDNEY	amplicon1	Linear amplification_1	2.4286678213034234	0.6369083520753686	1.791759469228055
BFTC909_KIDNEY	amplicon2	BFB_1	3.790883805541962	0.9576704614857456	2.833213344056216
BFTC909_KIDNEY	amplicon3	Complex non-cyclic_1	3.8792059723815147	0.7881635190231993	3.0910424533583156
BT20_BREAST	amplicon1	ecDNA_1	2.7656488896649467	0.6862073479851107	2.0794415416798357
BT20_BREAST	amplicon10	ecDNA_1	1.7398684942915503	0.6412562056234407	1.0986122886681098
BT20_BREAST	amplicon11	BFB_1	3.290537572523941	1.2110960308441054	2.0794415416798357
BT20_BREAST	amplicon12	ecDNA_1	1.3838336648618368	0.6906864843018916	0.6931471805599453
BT20_BREAST	amplicon13	Linear amplification_1	7.436273818936534e-13	7.436273818936534e-13	0
BT20_BREAST	amplicon2	Complex non-cyclic_1	6.747025017975865	2.352575863303426	4.394449154672439
BT20_BREAST	amplicon3	ecDNA_1	3.225297408883013	0.6603480514214766	2.5649493574615367
BT20_BREAST	amplicon4	Linear amplification_1	3.4082429708344675	0.9233363210464672	2.4849066497880004
BT20_BREAST	amplicon6	Linear amplification_1	1.1872171491227312	0.494069968562786	0.6931471805599453
BT20_BREAST	amplicon7	Linear amplification_1	0	0	0
BT20_BREAST	amplicon8	Linear amplification_1	0	0	0
BT20_BREAST	amplicon9	Complex non-cyclic_1	5.648545361689774	1.8418828719194542	3.8066624897703196
BT474_BREAST	amplicon1	ecDNA_1	2.634254725617964	0.842495256389909	1.791759469228055
BT474_BREAST	amplicon1	ecDNA_2	5.679716219852608	1.335910797998924	4.343805421853684
BT474_BREAST	amplicon1	ecDNA_3	5.501992382967696	0.7657939345732006	4.736198448394496
BT474_BREAST	amplicon2	Complex non-cyclic_1	2.981679961871409	0.7844553845351894	2.1972245773362196
BT474_BREAST	amplicon3	ecDNA_1	2.4156922881146663	0.6239328188866112	1.791759469228055
BT474_BREAST	amplicon4	Complex non-cyclic_1	6.121623562690533	1.1176772567450737	5.003946305945459
BT474_BREAST	amplicon5	Linear amplification_1	1.02576854473921	0.3326213641792646	0.6931471805599453
BT474_BREAST	amplicon6	Linear amplification_1	2.54583105726808	0.9363931448339795	1.6094379124341003
BT474_BREAST	amplicon7	Complex non-cyclic_1	4.792242286517954	1.701199833159639	3.0910424533583156
BT483_BREAST	amplicon1	ecDNA_1	3.036988603513941	0.5520819537259407	2.4849066497880004
C2BBE1_LARGE_INTESTINE	amplicon1	Linear amplification_1	3.2583248984302386	1.0611003210940193	2.1972245773362196
C2BBE1_LARGE_INTESTINE	amplicon2	Linear amplification_1	3.4956708298424166	1.0977755570440462	2.3978952727983707
C2BBE1_LARGE_INTESTINE	amplicon3	Complex non-cyclic_1	3.6892481770120638	0.8560348329558474	2.833213344056216
CAKI1_KIDNEY	amplicon1	ecDNA_1	1.9708110092007507	0.8721987205326409	1.0986122886681098
CAL120_BREAST	amplicon1	Linear amplification_1	0.690646808301039	0.690646808301039	0
CAL120_BREAST	amplicon2	ecDNA_1	1.574297505379529	0.4756852167114193	1.0986122886681098
CAL120_BREAST	amplicon4	Linear amplification_1	3.2866281484235698	1.0894035710873502	2.1972245773362196
CAL120_BREAST	amplicon5	Linear amplification_1	1.7559252456702352	0.6573129570021254	1.0986122886681098
CAL120_BREAST	amplicon7	ecDNA_1	5.39008210136712	1.215694831471483	4.174387269895637
CAL120_BREAST	amplicon8	ecDNA_1	1.9098542174445248	0.5235598563246341	1.3862943611198906
CAL120_BREAST	amplicon8	ecDNA_2	1.6506943386075623	0.5520820499394525	1.0986122886681098
CAL27_UPPER_AERODIGESTIVE_TRACT	amplicon2	Linear amplification_1	3.675984170562323	1.2780888977639524	2.3978952727983707
CAL27_UPPER_AERODIGESTIVE_TRACT	amplicon3	BFB_1	2.96514861221421	0.7679240348779908	2.1972245773362196
CAL54_KIDNEY	amplicon1	Linear amplification_1	1.382947397348139	0.6898002167881938	0.6931471805599453
CAL851_BREAST	amplicon1	ecDNA_1	2.7457898634717592	0.6663483217919235	2.0794415416798357
CAL851_BREAST	amplicon2	Linear amplification_1	2.755721916749244	0.8098117676939307	1.9459101490553135
CALU6_LUNG	amplicon1	ecDNA_1	4.8702171151939515	1.0860274812756905	3.784189633918261
CALU6_LUNG	amplicon2	Complex non-cyclic_1	3.9113010503097367	1.4263944005217364	2.4849066497880004
CAMA1_BREAST	amplicon1	Linear amplification_1	3.0396810951434015	0.8424565178071821	2.1972245773362196
CAMA1_BREAST	amplicon2	Complex non-cyclic_1	2.307567022328481	0.6981291098943806	1.6094379124341003
CAMA1_BREAST	amplicon3	ecDNA_1	3.8448678595338723	0.625992034665672	3.2188758248682006
CAOV3_OVARY	amplicon1	ecDNA_1	0.6689934719379127	0.6689934719379127	0
CAOV3_OVARY	amplicon1	ecDNA_2	1.9488897932566367	0.562595432136746	1.3862943611198906
CAOV3_OVARY	amplicon2	Linear amplification_1	2.153872108148563	0.7675777470286722	1.3862943611198906
CAOV3_OVARY	amplicon3	Linear amplification_1	2.585578065773345	0.7938185965452897	1.791759469228055
CAPAN1_PANCREAS	amplicon1	BFB_1	3.355158432253447	1.2757168905736114	2.0794415416798357
CHAGOK1_LUNG	amplicon1	Linear amplification_1	0	0	0
CHAGOK1_LUNG	amplicon2	BFB_1	2.325510382677548	0.9392160215576572	1.3862943611198906
CHAGOK1_LUNG	amplicon3	Complex non-cyclic_1	2.0979571053234287	0.48851919288932844	1.6094379124341003
CHAGOK1_LUNG	amplicon4	ecDNA_1	3.7255737297831524	0.6810512920597293	3.044522437723423
CHAGOK1_LUNG	amplicon5	Complex non-cyclic_1	6.543205191043466	2.3385125716525	4.204692619390966
CHAGOK1_LUNG	amplicon6	Linear amplification_1	1.9990892868844505	0.6127949257645599	1.3862943611198906
CHAGOK1_LUNG	amplicon7	Linear amplification_1	2.7858493441003183	0.9940898748722633	1.791759469228055
CHAGOK1_LUNG	amplicon8	Linear amplification_1	2.851567036789043	0.9056568877337298	1.9459101490553135
CHP212_AUTONOMIC_GANGLIA	amplicon1	ecDNA_1	3.8152985843932816	1.176241254778023	2.639057329615259
COLO201_LARGE_INTESTINE	amplicon1	ecDNA_1	1.7537202491193473	0.6551079604512374	1.0986122886681098
COLO201_LARGE_INTESTINE	amplicon2	BFB_1	4.5897548797364305	0.9788369670922066	3.6109179126442243
COLO201_LARGE_INTESTINE	amplicon3	Linear amplification_1	2.0250792806032196	0.9264669919351101	1.0986122886681098
COLO201_LARGE_INTESTINE	amplicon4	ecDNA_1	0.6668134639050167	0.6668134639050167	0
COLO201_LARGE_INTESTINE	amplicon5	Complex non-cyclic_1	1.7624311105507564	0.6638188218826466	1.0986122886681098
COLO201_LARGE_INTESTINE	amplicon6	Linear amplification_1	3.0912299727896912	1.0117884311098555	2.0794415416798357
COLO668_LUNG	amplicon1	ecDNA_1	5.783159875209854	1.624276791850183	4.1588830833596715
COLO829_SKIN	amplicon1	BFB_1	3.278262492952246	0.7933558431642457	2.4849066497880004
CORL23_LUNG	amplicon1	ecDNA_1	6.981986573498469	2.357013760214199	4.624972813284271
CORL23_LUNG	amplicon2	ecDNA_1	1.9548703107151963	0.5685759495953058	1.3862943611198906
CORL23_LUNG	amplicon4	ecDNA_1	4.3342998367294125	1.3385675631754217	2.995732273553991
CORL24_LUNG	amplicon1	BFB_1	5.9352602159574985	1.5532335812836173	4.382026634673881
CORL279_LUNG	amplicon1	ecDNA_1	3.506035979169317	1.0211293293813164	2.4849066497880004
CORL279_LUNG	amplicon2	ecDNA_1	4.593091120990406	0.7012708228797793	3.891820298110627
CORL311_LUNG	amplicon1	ecDNA_1	4.468493117656531	0.7072930019629686	3.7612001156935624
CORL311_LUNG	amplicon1	ecDNA_2	2.7263785510751877	0.5291539737389679	2.1972245773362196
CORL311_LUNG	amplicon2	Linear amplification_1	1.1465654435216281	0.45341826296168275	0.6931471805599453
CORL311_LUNG	amplicon3	ecDNA_1	5.882188848915282	1.6055227298992267	4.276666119016055
CORL88_LUNG	amplicon1	BFB_1	4.427133496709498	1.1312966307051693	3.295836866004329
CORL88_LUNG	amplicon2	BFB_1	4.070465267222201	0.8924114368742553	3.1780538303479458
CORL88_LUNG	amplicon3	ecDNA_1	3.5737927241519962	1.0088433666904595	2.5649493574615367
CORL88_LUNG	amplicon4	BFB_1	3.6791421718461317	0.9710919707439218	2.70805020110221
CORL88_LUNG	amplicon5	Complex non-cyclic_1	3.4078451190460095	1.0099498462476388	2.3978952727983707
COV362_OVARY	amplicon1	Linear amplification_1	0	0	0
COV362_OVARY	amplicon2	Linear amplification_1	3.185673073498582	0.9884484961623624	2.1972245773362196
