chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate
chr7	84555869	chr7	84558534	foldback	4	Complex non-cyclic	--	84555870	84558535
chr7	84612007	chr7	84616264	foldback	2	Complex non-cyclic	++	84612006	84616263
chr7	88887246	chr7	88889543	deletion-like	5	Complex non-cyclic	+-	88887245	88889544
chr7	88887225	chr7	88889636	duplication-like	7	Complex non-cyclic	-+	88887226	88889635
chr7	89985117	chr7	89986489	foldback	4	Complex non-cyclic	++	89985116	89986488
chr7	93360879	chr7	93361879	deletion-like	11	Complex non-cyclic	+-	93360878	93361880
chr7	93787628	chr7	93793679	deletion-like	3	Complex non-cyclic	+-	93787627	93793680
chr7	93912503	chr7	93913227	deletion-like	27	Complex non-cyclic	+-	93912502	93913228
chr7	95279084	chr7	95279084	foldback	6	Complex non-cyclic	--	95279085	95279085
chr7	96217429	chr17	50041117	interchromosomal	3	None	--	96217430	50041118
chr7	96846590	chr7	96852682	deletion-like	23	Complex non-cyclic	+-	96846589	96852683
chr7	98026459	chr7	98028239	deletion-like	14	Complex non-cyclic	+-	98026458	98028240
chr7	99568425	chr7	99569534	deletion-like	4	Complex non-cyclic	+-	99568424	99569535
chr7	99640216	chr7	99640216	foldback	2	Complex non-cyclic	++	99640215	99640215
chr7	99838166	chr7	99838166	foldback	2	Complex non-cyclic	++	99838165	99838165
chr7	101357982	chr7	101360576	deletion-like	4	Complex non-cyclic	+-	101357981	101360577
chr7	101415883	chr7	101416962	deletion-like	7	Complex non-cyclic	+-	101415882	101416963
