chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate
chr6	37851796	chr6	37852483	foldback	50	BFB	--	37851797	37852484
chr6	37991172	chr6	37997727	foldback	23	BFB	++	37991171	37997726
chr6	37998064	chr22	28669745	interchromosomal	14	None	++	37998063	28669744
chr6	40209166	chr12	7421669	interchromosomal	15	None	++	40209165	7421668
chr6	40870900	chr6	40964842	deletion-like	8	BFB	+-	40870899	40964843
chr6	42823863	chr6	42824381	foldback	9	BFB	--	42823864	42824382
chr6	51871276	chr6	51872018	deletion-like	6	None	+-	51871275	51872019
chr6	52786301	chr6	52787846	deletion-like	10	unknown	+-	52786300	52787847
chr6	52786140	chr6	52826655	duplication-like	17	unknown	-+	52786141	52826654
chr6	54059859	chr6	54063862	duplication-like	3	None	-+	54059860	54063861
chr6	54060007	chr6	54070030	deletion-like	13	unknown	+-	54060006	54070031
chr6	55476940	chr6	55477535	deletion-like	20	unknown	+-	55476939	55477536
chr6	56285376	chr6	56332793	inversion	10	unknown	++	56285375	56332792
chr6	133020694	chr6	133026768	deletion-like	11	None	+-	133020693	133026769
chr6	42907435	chr6	133087472	deletion-like	81	BFB	+-	42907434	133087473
chr6	133108127	chr6	133108788	deletion-like	17	BFB	+-	133108126	133108789
chr6	133947842	chr6	133948586	deletion-like	76	BFB	+-	133947841	133948587
chr6	135070276	chr6	135071358	foldback	15	BFB	--	135070277	135071359
chr6	135221659	chr6	135222350	foldback	25	BFB	++	135221658	135222349
chr6	134536634	chr6	135454778	inversion	18	BFB	++	134536633	135454777
chr6	67556006	chr6	138117350	inversion	22	None	++	67556005	138117349
chr22	28669656	chr22	28669656	foldback	2	None	--	28669657	28669657
