chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate
chr12	63344888	chr12	63345837	foldback	9	BFB|ecDNA	--	63344889	63345838
chr12	63458665	chr12	64504243	deletion-like	32	ecDNA	+-	63458664	64504244
chr12	65244927	chr12	65245002	foldback	12	BFB|ecDNA	--	65244928	65245003
chr12	62097169	chr12	65303549	inversion	26	BFB	++	62097168	65303548
chr12	66133872	chr12	66136096	deletion-like	44	ecDNA	+-	66133871	66136097
chr12	63452805	chr12	66209555	deletion-like	23	BFB|ecDNA	+-	63452804	66209556
chr12	61051687	chr12	66594561	inversion	41	BFB	--	61051688	66594562
chr12	63293279	chr12	66600385	duplication-like	30	ecDNA	-+	63293280	66600384
chr12	67101099	chr12	67101798	deletion-like	12	BFB	+-	67101098	67101799
chr12	67068250	chr12	67642559	inversion	29	BFB	--	67068251	67642560
chr12	67609409	chr12	67696160	inversion	13	BFB|ecDNA	++	67609408	67696159
chr12	67604581	chr12	67775704	duplication-like	12	BFB|ecDNA	-+	67604582	67775703
chr12	67238550	chr12	68276614	inversion	9	BFB	--	67238551	68276615
chr12	69163981	chr12	69165911	deletion-like	12	BFB	+-	69163980	69165912
chr12	71139498	chr12	71139971	foldback	72	BFB	++	71139497	71139970
chr12	71139013	chr12	71139974	foldback	57	BFB	--	71139014	71139975
chr12	71795378	chr12	71796792	deletion-like	80	BFB	+-	71795377	71796793
chr12	71962840	chr12	71964358	deletion-like	53	BFB	+-	71962839	71964359
chr12	72724411	chr12	72724411	foldback	8	BFB	++	72724410	72724410
chr12	67612772	chr12	72779020	inversion	49	BFB	++	67612771	72779019
