chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate
chr9	80006779	chr12	57315197	interchromosomal	6	None	-+	80006780	57315196
chr12	56224226	chr12	56312752	deletion-like	15	None	+-	56224225	56312753
chr12	31686458	chr12	57827158	duplication-like	5	None	-+	31686459	57827157
chr12	58538141	chr13	47358889	interchromosomal	7	None	--	58538142	47358890
chr12	57158606	chr12	58744208	deletion-like	6	ecDNA	+-	57158605	58744209
chr12	58837989	chr12	58853983	deletion-like	7	ecDNA	+-	58837988	58853984
chr12	56639950	chr12	59238806	inversion	6	None	++	56639949	59238805
chr12	58711752	chr12	59238991	inversion	4	None	--	58711753	59238992
chr12	6760107	chr12	59471500	deletion-like	8	None	+-	6760106	59471501
chr12	58711565	chr12	59667625	deletion-like	8	None	+-	58711564	59667626
chr12	59833636	chr13	47358821	interchromosomal	4	None	-+	59833637	47358820
chr12	59712580	chr12	59912077	duplication-like	4	ecDNA	-+	59712581	59912076
chr12	60016776	chr12	60022248	deletion-like	5	ecDNA	+-	60016775	60022249
chr12	58597307	chr12	60131152	inversion	4	None	++	58597306	60131151
chr12	60128063	chr12	60131254	deletion-like	8	ecDNA	+-	60128062	60131255
chr12	59694494	chr12	60132284	inversion	5	ecDNA	--	59694495	60132285
chr12	56828372	chr12	60246345	duplication-like	7	ecDNA	-+	56828373	60246344
chr12	58763725	chr12	62382890	inversion	5	None	++	58763724	62382889
chr12	6763265	chr12	62772426	inversion	9	None	--	6763266	62772427
chr12	62911154	chr13	47476578	interchromosomal	21	None	--	62911155	47476579
chr12	57205267	chr12	62912599	inversion	6	unknown	--	57205268	62912600
chr12	67262684	chr13	44969950	interchromosomal	19	unknown	+-	67262683	44969951
chr12	62908361	chr12	67263789	deletion-like	18	None	+-	62908360	67263790
chr12	69588423	chr13	47476114	interchromosomal	19	None	-+	69588424	47476113
chr13	44969161	chr13	45040792	inversion	11	unknown	++	44969160	45040791
