chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate
chr12	37711180	chr16	34210798	interchromosomal	2	None	--	37711181	34210799
chr12	37719433	chr15	17022565	interchromosomal	5	None	+-	37719432	17022566
chr13	16001607	chr13	16007374	deletion-like	2	None	+-	16001606	16007375
chr13	16006410	chr13	16012194	deletion-like	3	None	+-	16006409	16012195
chr13	16001564	chr13	16012954	deletion-like	4	None	+-	16001563	16012955
chr13	16002516	chr13	16013882	duplication-like	5	Complex non-cyclic	-+	16002517	16013881
chr13	16004966	chr13	16016375	deletion-like	2	Complex non-cyclic	+-	16004965	16016376
chr13	16010820	chr13	16016414	deletion-like	3	Complex non-cyclic	+-	16010819	16016415
chr13	16008827	chr13	16020144	duplication-like	3	Complex non-cyclic	-+	16008828	16020143
chr13	16015025	chr13	16020599	duplication-like	5	None	-+	16015026	16020598
chr13	16016362	chr13	16022061	duplication-like	16	Complex non-cyclic	-+	16016363	16022060
chr13	16016567	chr13	16022291	deletion-like	35	Complex non-cyclic	+-	16016566	16022292
chr13	16011316	chr13	16022536	duplication-like	9	None	-+	16011317	16022535
chr14	16127929	chr14	16129248	deletion-like	9	None	+-	16127928	16129249
chr14	16129914	chr22	12418288	interchromosomal	4	None	--	16129915	12418289
chr14	16136204	chr14	16137860	deletion-like	17	None	+-	16136203	16137861
chr15	17059419	chr13	16022436	interchromosomal	5	Complex non-cyclic	-+	17059420	16022435
chr16	34211601	chr20	29206003	interchromosomal	8	None	--	34211602	29206004
chr16	34218624	chr16	34220328	deletion-like	13	Complex non-cyclic	+-	34218623	34220329
chr20	28769351	chr20	28771433	duplication-like	18	Complex non-cyclic	-+	28769352	28771432
chr20	28782442	chr15	17026728	interchromosomal	5	Complex non-cyclic	++	28782441	17026727
chr20	29155815	chr20	29187616	deletion-like	8	None	+-	29155814	29187617
chr20	29167727	chr20	29193375	deletion-like	8	None	+-	29167726	29193376
chr20	29152374	chr20	29197172	duplication-like	13	None	-+	29152375	29197171
chr20	29164443	chr20	29204018	deletion-like	2	None	+-	29164442	29204019
chr20	29199360	chr20	29204169	duplication-like	3	None	-+	29199361	29204168
